ISIN Code,Lowest Accepted Yield,Average Yield,Highest Accepted Yield,Average Rate of Discount (%),Average Price per £100 Nominal (£),Tail (In Yield Terms),Amount Tendered For (£),Amount On Offer (£),Bid to Cover Ratio,Amount Allocated (£),Maturity (Months),Maturity Date,Highest Yield % Filled,Date
GB00B3G75552,0.4,0.443114,0.45899999999999996,0.442963,99.96601924399401,0.015886,2513500000,1000000000,2.51,999990000.0,1,2010-02-01,47.66,2010-01-01
GB00B3G9C724,0.43,0.49167,0.51,0.49106099999999997,99.87622561003401,0.018330000000000003,3477600000,1500000000,2.32,1499950000.0,3,2010-04-06,37.8,2010-01-01
GB00B3GD5425,0.479,0.529363,0.55,0.5279689999999999,99.73673855009599,0.020637,2662000000,1000000000,2.66,1000000000.0,6,2010-07-05,48.0,2010-01-01
GB00B3G7CD26,0.4,0.44129399999999996,0.45,0.441145,99.966158765758,0.008706,3963850000,1000000000,3.96,999954915.0,1,2010-02-08,61.29,2010-01-08
GB00B3G9LM06,0.44,0.486693,0.5,0.486103,99.878807156643,0.013307,4702800000,2000000000,2.35,1999970600.0,3,2010-04-12,23.62,2010-01-08
GB00B3GDB881,0.48,0.5165500000000001,0.52,0.515223,99.743094308044,0.00345,4732000000,1500000000,3.15,1499942300.0,6,2010-07-12,55.99,2010-01-08
GB00B3G4BT22,0.409,0.4376640000000001,0.45799999999999996,0.437517,99.966437043845,0.020336,2691400000,1000000000,2.69,1000000000.0,1,2010-02-15,59.0,2010-01-15
GB00B3G6Y229,0.44799999999999995,0.484649,0.498,0.4840640000000001,99.87931552478202,0.013350999999999998,6947200000,2000000000,3.47,1999984000.0,3,2010-04-19,13.32,2010-01-15
GB00B3GB3G44,0.469,0.5151899999999999,0.52,0.5138699999999999,99.743768969725,0.00481,4518050000,1500000000,3.01,1499831500.0,6,2010-07-19,45.71,2010-01-15
GB00B3GDVH73,0.469,0.509575,0.52,0.5082840000000001,99.746554526162,0.010425,4043050000,1500000000,2.7,1499968000.0,6,2010-07-26,7.46,2010-01-22
GB00B3GB3976,0.469,0.4885229999999999,0.495,0.4879290000000001,99.878352017349,0.006476999999999999,3984800000,2000000000,1.99,1999970900.0,3,2010-04-26,91.19,2010-01-22
GB00B3G7Z000,0.4,0.450486,0.47,0.45033,99.965454108175,0.019514,1398700000,1000000000,1.4,1000000000.0,1,2010-02-22,71.8,2010-01-22
GB00B3G87854,0.4,0.453281,0.469,0.453123,99.96523984579001,0.015719,1993200000,1000000000,1.99,1000000000.0,1,2010-03-01,59.0,2010-01-29
GB00B3GBBK41,0.45,0.488202,0.499,0.487602,99.877097581124,0.010798,4321150000,2000000000,2.16,1999985000.0,3,2010-05-04,14.42,2010-01-29
